title,authors,year,journal,abstract,keywords,citation
Organic iontronic memristors for artificial synapses and bionic neuromorphic computing,"Yang Xia, Cheng Zhang, Zheng Xu, Shuanglong Lu, Xinli Cheng, Shice Wei, Junwei Yuan, Yanqiu Sun, Yang Li",2023,,"To tackle the current crisis of Moore's law, a sophisticated strategy entails the development of multistable memristors, bionic artificial synapses, logic circuits and brain-inspired neuromorphic computing. In comparison with conventional electronic systems, iontronic memristors offer greater potential for the manifestation of artificial intelligence and brain-machine interaction. Organic iontronic memristive materials (OIMs), which possess an organic backbone and exhibit stoichiometric ionic states, have emerged as pivotal contenders for the realization of high-performance bionic iontronic memristors. In this review, a comprehensive analysis of the progress and prospects of OIMs is presented, encompassing their inherent advantages, diverse types, synthesis methodologies, and wide-ranging applications in memristive devices. Predictably, the field of OIMs, as a rapidly developing research subject, presents an exciting opportunity for the development of highly efficient neuro-iontronic systems in areas such as in-sensor computing devices, artificial synapses, and human perception.",,28
"Harnessing exciton-polaritons for digital computing, neuromorphic computing, and optimization [Invited]","Andrzej Opala, Michał Matuszewski",2023,,"Polaritons are quasiparticles resulting from the strong quantum coupling of light and matter. Peculiar properties of polaritons are a mixture of physics usually restricted to one of these realms, making them interesting for study not only from the fundamental point of view but also for applications. In recent years, many studies have been devoted to the potential use of exciton-polaritons for computing. Very recently, it has been shown experimentally that they can be harnessed not only for digital computing but also for optical neural networks and for optimization related to hard computational problems. Here, we provide a brief review of recent studies and the most important results in this area. We focus our attention, in particular, on the emerging concepts of non-von-Neumann computing schemes and their realizations in exciton-polariton systems.",,28
Carbon-based memristors for resistive random access memory and neuromorphic applications,"Fan Yang, Zhaorui Liu, Xumin Ding, Yang Li, Cong Wang, Guozhen Shen",2024,,"As a typical representative of nanomaterials, carbon nanomaterials have attracted widespread attention in the construction of electronic devices due to their unique physical and chemical properties, multi-dimensionality, multi-hybridization methods and excellent electronic properties. Especially in recent years, memristors based on carbon nanomaterials have flourished in the field of building non-volatile memory devices and neuromorphic applications. In this paper, the preparation methods and structural characteristics of carbon nanomaterials of different dimensions are systematically reviewed. Then, the structural characteristics and working mechanism of memristors based on carbon nanomaterials of different dimensions are discussed in depth. Finally, the potential applications of carbon-based memristors in logic operations, neural network construction, artificial vision systems, artificial tactile systems, and multimodal perception systems are introduced. We believe this paper will provide guidance for the future development of high-quality information storage, high-performance neuromorphic applications, and high-sensitivity bionic sensing based on carbon-based memristors.",,28
Operant Conditioning Neuromorphic Circuit With Addictiveness and Time Memory for Automatic Learning,"Gang Dou, Wenhai Guo, Lingtong Kong, Junwei Sun, Mei Guo, Shiping Wen",2024,,"Most operant conditioning circuits predominantly focus on simple feedback process, few studies consider the intricacies of feedback outcomes and the uncertainty of feedback time. This paper proposes a neuromorphic circuit based on operant conditioning with addictiveness and time memory for automatic learning. The circuit is mainly composed of hunger output module, neuron module, excitement output module, memristor-based decision module, and memory and feedback generation module. In the circuit, the process of output excitement and addiction in stochastic feedback is achieved. The memory of interval between the two rewards is formed. The circuit can adapt to complex scenarios with these functions. In addition, hunger and satiety are introduced to realize the interaction between biological behavior and exploration desire, which enables the circuit to continuously reshape its memories and actions. The process of operant conditioning theory for automatic learning is accomplished. The study of operant conditioning can serve as a reference for more intelligent brain-inspired neural systems.",,28
"Review of Electrochemically Synthesized Resistive Switching Devices: Memory Storage, Neuromorphic Computing, and Sensing Applications","Somnath S. Kundale, Girish U. Kamble, Pradnya P. Patil, Snehal L. Patil, Kasturi A. Rokade, Atul C. Khot, Kiran A. Nirmal, Rajanish K. Kamat, Kyeong Heon Kim, Ho-Myoung An, Tukaram D. Dongale, Tae Geun Kim",2023,,"Resistive-switching-based memory devices meet most of the requirements for use in next-generation information and communication technology applications, including standalone memory devices, neuromorphic hardware, and embedded sensing devices with on-chip storage, due to their low cost, excellent memory retention, compatibility with 3D integration, in-memory computing capabilities, and ease of fabrication. Electrochemical synthesis is the most widespread technique for the fabrication of state-of-the-art memory devices. The present review article summarizes the electrochemical approaches that have been proposed for the fabrication of switching, memristor, and memristive devices for memory storage, neuromorphic computing, and sensing applications, highlighting their various advantages and performance metrics. We also present the challenges and future research directions for this field in the concluding section.",,28
Ferroelectrically modulated ion dynamics in Li<b>+</b> electrolyte-gated transistors for neuromorphic computing,"Minho Jin, Haeyeon Lee, Jae‐Hak Lee, Daeyoung Han, Changik Im, Jiyeon Kim, Moongu Jeon, Eungkyu Lee, Youn Sang Kim",2023,,"Li+ electrolyte-gated transistors (EGTs) have attracted significant attention as artificial synapses because of the fast response of Li+ ion, low operating voltage, and applicability to flexible electronics. Due to the inherent nature of Li+ ion, Li+ EGTs show, however, limitations, such as poor long-term synaptic plasticity and nonlinear/nonsymmetric conductance update, which hinder the practical applications of artificial synapses. Herein, Li+ EGTs integrated with poly(vinylidene fluoride-co-trifluoroethylene) (PVDF-TrFE) ferroelectric polymer as a channel–electrolyte interlayer are presented. Owing to the polarized domains of PVDF-TrFE, the transport of Li+ ions at the channel–electrolyte interface is accelerated, and Li+ ions effectively penetrate the channel. Moreover, the self-diffusion of Li+ ions from the channel to the electrolyte is suppressed by the downward polarized domains. Li+ EGTs, therefore, successfully demonstrate synaptic characteristics, including excitatory postsynaptic current, short-/long-term synaptic plasticity, and paired-pulse facilitation. Also, conductance update in Li+ EGTs shows a dynamic range (Gmax/Gmin) of 92.42, high linearity, and distinct stability over 100 cycles. Based on their synaptic characteristics, inference simulations using a convolution neural network for the CIFAR-10 dataset imply that Li+ EGTs are suitable as artificial synapses with an inference accuracy of 89.13%. The new methodological approach addressing modulation of ion dynamics at the interface is introduced for developing practical synaptic devices.",,28
Mechano-driven logic-in-memory with neuromorphic triboelectric charge-trapping transistor,"Yichen Wei, Jinran Yu, Yonghai Li, Yifei Wang, Ziwei Huo, Liuqi Cheng, Dewu Yue, Keteng Zhang, Jie Gong, Jie Wang, Zhong Lin Wang, Qijun Sun",2024,,,,28
Bidirectional Photovoltage‐Driven Oxide Transistors for Neuromorphic Visual Sensors,"Chenxing Jin, Jingwen Wang, Shenglan Yang, Yang Ding, Jianhui Chang, Wanrong Liu, Yunchao Xu, Xiaofang Shi, Pengshan Xie, Johnny C. Ho, Changjin Wan, Zijian Zheng, Jia Sun, Lei Liao, Junliang Yang",2024,,"Biological vision is one of the most important parts of the human perception system. However, emulating biological visuals is challenging because it requires complementary photoexcitation and photoinhibition. Here, the study presents a bidirectional photovoltage-driven neuromorphic visual sensor (BPNVS) that is constructed by monolithically integrating two perovskite solar cells (PSCs) with dual-gate ion-gel-gated oxide transistors. PSCs act as photoreceptors, converting external visual stimuli into electrical signals, whereas oxide transistors generate neuromorphic signal outputs that can be adjusted to produce positive and negative photoresponses. This device mimics the human vision system's ability to recognize colored and color-mixed patterns. The device achieves a static color recognition accuracy of 96% by utilizing the reservoir computing system for feature extraction. The BPNVS mem-reservoir chip is also proposed for handing object movement and dynamic color recognition. This work is a significant step forward in neuromorphic sensing and complex pattern recognition.",,28
Flexible aluminum-doped hafnium oxide ferroelectric synapse devices for neuromorphic computing,"Zhenhai Li, Tianyu Wang, Jialin Meng, Hao Zhu, Qingqing Sun, David Wei Zhang, Lin Chen",2023,,"The HfO<sub>2</sub>-based ferroelectric tunnel junction has received outstanding attention owing to its high-speed and low-power characteristics. In this work, aluminum-doped HfO<sub>2</sub> (HfAlO) ferroelectric thin films are deposited on a muscovite substrate (Mica). We investigate the bending effect on the ferroelectric characteristics of the Au/Ti/HfAlO/Pt/Ti/Mica device. After 1000 bending times, the ferroelectric properties and the fatigue characteristics are largely degraded. The finite element analysis indicates that crack formation is the main reason for the fatigue damage under threshold bending diameters. Moreover, the HfAlO-based ferroelectric synaptic device exhibits excellent performance of neuromorphic computing. The artificial synapse can mimic the paired-pulse facilitation and long-term potentiation/depression of biological synapses. Meanwhile, the accuracy of digit recognition is 88.8%. This research provides a new research idea for the further development of hafnium-based ferroelectric devices.",,28
Dopamine detection and integration in neuromorphic devices for applications in artificial intelligence,"Senyao Wang, Minghui Wu, Wenchao Liu, Junjun Liu, Yang Tian, Kai Xiao",2024,,,,28
Dual‐Mode Semiconductor Device Enabling Optoelectronic Detection and Neuromorphic Processing with Extended Spectral Responsivity,"Can Fu, Jiawei Yang, Jiang Wang, Sheng‐Hui Luo, Lin‐Bao Luo, Huanhuan Wei, Yujiao Li, Shanshan Jiang, Gang He",2024,,"High-performance semiconductor devices capable of multiple functions are pivotal in meeting the challenges of miniaturization and integration in advanced technologies. Despite the inherent difficulties of incorporating dual functionality within a single device, a high-performance, dual-mode device is reported. This device integrates an ultra-thin Al<sub>2</sub>O<sub>3</sub> passivation layer with a PbS/Si hybrid heterojunction, which can simultaneously enable optoelectronic detection and neuromorphic operation. In mode 1, the device efficiently separates photo-generated electron-hole pairs, exhibiting an ultra-wide spectral response from ultraviolet (265 nm) to near-infrared (1650 nm) wavelengths. It also reproduces high-quality images of 256 × 256 pixels, achieving a Q-value as low as 0.00437 µW cm<sup>-</sup> <sup>2</sup> at a light intensity of 8.58 µW cm<sup>-</sup> <sup>2</sup>. Meanwhile, when in mode 2, the as-assembled device with typical persistent photoconductivity (PPC) behavior can act as a neuromorphic device, which can achieve 96.5% accuracy in classifying standard digits underscoring its efficacy in temporal information processing. It is believed that the present dual-function devices potentially advance the multifunctionality and miniaturization of chips for intelligence applications.",,27
The backpropagation algorithm implemented on spiking neuromorphic hardware,"Alpha Renner, Forrest Sheldon, Anatoly Zlotnik, Louis Tao, Andrew Sornborger",2024,,"The capabilities of natural neural systems have inspired both new generations of machine learning algorithms as well as neuromorphic, very large-scale integrated circuits capable of fast, low-power information processing. However, it has been argued that most modern machine learning algorithms are not neurophysiologically plausible. In particular, the workhorse of modern deep learning, the backpropagation algorithm, has proven difficult to translate to neuromorphic hardware. This study presents a neuromorphic, spiking backpropagation algorithm based on synfire-gated dynamical information coordination and processing implemented on Intel's Loihi neuromorphic research processor. We demonstrate a proof-of-principle three-layer circuit that learns to classify digits and clothing items from the MNIST and Fashion MNIST datasets. To our knowledge, this is the first work to show a Spiking Neural Network implementation of the exact backpropagation algorithm that is fully on-chip without a computer in the loop. It is competitive in accuracy with off-chip trained SNNs and achieves an energy-delay product suitable for edge computing. This implementation shows a path for using in-memory, massively parallel neuromorphic processors for low-power, low-latency implementation of modern deep learning applications.",,27
Emulating Ebbinghaus forgetting behavior in a neuromorphic device based on 1D supramolecular nanofibres,"Tejaswini S. Rao, Suman Kundu, Bharath Bannur, Subi J. George, Giridhar U. Kulkarni",2023,,"Mimicking synaptic functions in hardware devices is a crucial step in realizing brain-like computing beyond the von Neumann architecture. 1D nanomaterials with spatial extensions of a few μm, similar to biological neurons, gain significance given the ease of electrical transport as well as directionality. Herein, we report a two-terminal optically active device based on 1D supramolecular nanofibres consisting of CS (coronene tetracarboxylate) and DMV (dimethyl viologen) forming alternating D-A (donor-acceptor) pairs, emulating synaptic functions such as the STP (short-term potentiation), LTP (long-term potentiation), PPF (paired-pulse facilitation), STDP (spike-time dependent plasticity) and learning-relearning behaviors. In addition, an extensive study on the less explored Ebbinghaus forgetting curve has been carried out. The supramolecular nanofibres being light sensitive, the potential of the device as a visual system is demonstrated using a 3 × 3 pixel array.",,27
Superlow Power Consumption Artificial Synapses Based on WSe <sub>2</sub> Quantum Dots Memristor for Neuromorphic Computing,"Zhongrong Wang, Wei Wang, Pan Liu, Gongjie Liu, Jiahang Li, Jianhui Zhao, Zhenyu Zhou, Jingjuan Wang, Yifei Pei, Zhen Zhao, Jiaxin Li, Lei Wang, Zixuan Jian, Yichao Wang, Guo Jianxin, Xiaobing Yan",2022,,"As the emerging member of zero-dimension transition metal dichalcogenide, WSe<sub>2</sub> quantum dots (QDs) have been applied to memristors and exhibited better resistance switching characteristics and miniaturization size. However, low power consumption and high reliability are still challenges for WSe<sub>2</sub> QDs-based memristors as synaptic devices. Here, we demonstrate a high-performance, superlow power consumption memristor device with the structure of Ag/WSe<sub>2</sub> QDs/La<sub>0.3</sub>Sr<sub>0.7</sub>MnO<sub>3</sub>/SrTiO<sub>3</sub>. The device displays excellent resistive switching memory behavior with a <i>R</i> <sub>OFF</sub>/<i>R</i> <sub>ON</sub> ratio of ~5 × 10<sup>3</sup>, power consumption per switching as low as 0.16 nW, very low set, and reset voltage of ~0.52 V and~ -0.19 V with excellent cycling stability, good reproducibility, and decent data retention capability. The superlow power consumption characteristic of the device is further proved by the method of density functional theory calculation. In addition, the influence of pulse amplitude, duration, and interval was studied to gradually modulating the conductance of the device. The memristor has also been demonstrated to simulate different functions of artificial synapses, such as excitatory postsynaptic current, spike timing-dependent plasticity, long-term potentiation, long-term depression, and paired-pulse facilitation. Importantly, digit recognition ability based on the WSe<sub>2</sub> QDs device is evaluated through a three-layer artificial neural network, and the digit recognition accuracy after 40 times of training can reach up to 94.05%. This study paves a new way for the development of memristor devices with advanced significance for future low power neuromorphic computing.",,27
Versatile Neuromorphic Modulation and Biosensing based on N‐type Small‐molecule Organic Mixed Ionic‐Electronic Conductors,"Riping Liu, Xiuyuan Zhu, Jiayao Duan, Junxin Chen, Zhuang Xie, Chaoyue Chen, Xi Xie, Yanxi Zhang, Wan Yue",2023,,"Abstract The ion/chemical‐based modulation feature of organic mixed ionic‐electronic conductors (OMIECs) are critical to advancing next generation bio‐integrated neuromorphic hardware. Despite achievements with polymeric OMIECs in organic electrochemical neuronal synapse (OENS). However, small molecule OMIECs based OENS has not yet been realized. Here, for the first time, we demonstrate an effective materials design concept of combining n‐type fused all‐acceptor small molecule OMIECs with subtle side chain optimization that enables robustly and flexibly modulating versatile synaptic behavior and sensing neurotransmitter in solid or aqueous electrolyte, operating in accumulation modes. By judicious tuning the ending side chains, the linear oligoether and butyl chain derivative gNR‐Bu exhibits higher recognition accuracy for a model artificial neural network (ANN) simulation, higher steady conductance states and more outstanding ambient stability, which is superior to the state‐of‐art n‐type OMIECs based OENS. These superior artificial synapse characteristics of gNR‐Bu can be attributed to its higher crystallinity with stronger ion bonding capacities. More impressively, we unprecedentedly realized n‐type small‐molecule OMIECs based OENS as a neuromorphic biosensor enabling to respond synaptic communication signals of dopamine even at sub‐μM level in aqueous electrolyte. This work may open a new path of small‐molecule ion‐electron conductors for next‐generation ANN and bioelectronics.",,27
GeTe/MoTe <sub>2</sub> Van der Waals Heterostructures: Enabling Ultralow Voltage Memristors for Nonvolatile Memory and Neuromorphic Computing Applications,"Atul C. Khot, Kiran A. Nirmal, Tukaram D. Dongale, Tae Geun Kim",2024,,"Advanced electronic semiconducting Van der Waals heterostructures (HSs) are promising candidates for exploring next-generation nanoelectronics owing to their exceptional electronic properties, which present the possibility of extending their functionalities to diverse potential applications. In this study, GeTe/MoTe<sub>2</sub> HS are explored for nonvolatile memory and neuromorphic-computing applications. Sputter-deposited Ag/GeTe/MoTe<sub>2</sub>/Pt HS cross-point devices are fabricated, and they demonstrate memristor behavior at ultralow switching voltages (V<sub>SET</sub>: 0.15 V and V<sub>RESET</sub>: -0.14 V) with very low energy consumption (≈30 nJ), high memory window, long retention time (10<sup>4</sup> s), and excellent endurance (10<sup>5</sup> cycles). Resistive switching is achieved by adjusting the interface between the Ag top electrode and the heterojunction switching layer. Cross-sectional transmission electron microscope images and conductive atomic force microscopy analysis confirm the presence of a conducting filament in the heterojunction switching layer. Further, emulating various synaptic functions of a biological synapse reveals that GeTe/MoTe<sub>2</sub> HS can be utilized for energy-efficient neuromorphic-computing applications. A multilayer perceptron is implemented using the synaptic weights of the Ag/GeTe/MoTe<sub>2</sub>/Pt HS device, revealing high pattern accuracy (81.3%). These results indicate that HS devices can be considered a potential solution for high-density memory and artificial intelligence applications.",,27
Fabrication of Graphene Oxide-Based Resistive Switching Memory by the Spray Pyrolysis Technique for Neuromorphic Computing,"Alireza Moazzeni, Hadi Riyahi Madvar, Samaneh Hamedi, Zoheir Kordrostami",2023,,"Recently, resistive switching memory (RRAM) has been attractive for implementing electronic synapses in neural networks and high-density memory technology. In this paper, we report a different technique for fabricating an Al/GO/ITO RRAM device with multilevel storage capability. In this work, graphene oxide (GO) thin films have been deposited by the spray pyrolysis technique (SPT) using GO powder synthesized by chemical oxidation of graphite flakes via the modified Hummers method. The fabricated RRAM shows good switching performance between On and Off states with the best memory window of 20 and presents reliable retention characteristics of 104 s and 50 reproducible write–read DC cycles without degradation. The multilevel feature points out five stable multiresistant states obtained with the variation of the compliance current (Icc) and reset voltage amplitude. The successful long-term potentiation and depression with 10 ms pulse operation allows to apply this memory in neuromorphic computing applications in addition to 11 gradual conductance levels achieved by continuous set and reset cycles. A comparison of the efficiency of SPT with that of the typical spin coating method showed a notable (87%) yield achieved by SPT. The combination of the multilevel capacity of fabricated RRAMs with SPT was exploited to suggest that GO-based RRAMs have the potential to be used as multibit GO memristors and electronic synapse devices for emerging neuromorphic chips. In addition, this work paves the way for the fabrication of solution-based, low-cost, simple and large-scale GO memristors for future electronics.",,27
Co-existence of bipolar nonvolatile and volatile resistive switching based on WO3 nanowire for applications in neuromorphic computing and selective memory,"Ling Qin, Siqi Cheng, Bingyang Xie, Xianhua Wei, Wenjing Jie",2022,,"A two-terminal memristor can be used for information memory and logic operation as well as serving as an artificial synapse for neuromorphic computing. Selective memory with some enjoyable information to be remembered and other to be screened out can be emulated by an artificial synapse. In this work, a memristor based on a single WO3 nanowire can be constructed, which demonstrates the co-existence of bipolar nonvolatile and volatile resistive switching (RS) behaviors that can be tuned by the amplitude of the operation voltage. For small operation voltages (2 V), the device demonstrates nonvolatile analog RS, which can be utilized as an artificial synapse with long- and short-term plasticity. The learning–forgetting experience of human can be emulated based on the artificial synapse. Moreover, the artificial synapse can be used for image recognition with the recognition accuracy up to 94% for small hand-written image. On the other hand, volatile RS can be observed with large operation voltages (6 V). Furthermore, based on the diverse nonvolatile and volatile RS behaviors, selective memory can be emulated. Our fabricated memristor can be used as an artificial synapse to achieve image recognition and to emulate selective memory, which paves a way to construct smart neuromorphic systems facing complex information.",,27
2D Ca<sub>2</sub>Nb<sub>3</sub>O<sub>10</sub> Optoelectronic Neuromorphic Device for Ultrasensitive UV‐C Vision and Encrypted Communication,"Jiaxin Chen, Xinya Liu, Qingshan Zhu, Xiaosheng Fang, Wentao Xu",2024,,"Abstract Neuromorphic device that percepts ultraviolet (UV) radiations is essential for supplementing human visual perception. However, UV‐responsive synapses with high sensitivity and wavelength selectivity have not yet been developed so far. Herein, 2D optoelectronic synapses that are able to distinguish between UV‐A, UV‐,B and UV‐C radiations using a single material are demonstrated. The synapses use Ca 2 Nb 3 O 10 nanosheets with wide bandgap and persistent photoconductivity effect (PPC) as UV‐responsive layer. The devices can detect UV‐C rays at ultralow intensity of 70 nW cm −2 , which is the lowest record among 2D UV synaptic devices. Moreover, such a device demonstrates UV image vision, recognition, and memorization functions based on its diverse synaptic behaviors. The atomically thin UV synapses provide implications for enhancing human visual perception capabilities with spectral selectivity, ultrahigh sensitivity, and low‐energy consumption.",,27
Artificial Leaky Integrate-and-Fire Sensory Neuron for In-Sensor Computing Neuromorphic Perception at the Edge,"Yubin Yuan, Runyu Gao, Qiang Wu, Sheng Li Fang, Xiangrui Bu, Yilin Cui, Chuanyu Han, Long Hu, Xin Li, Xiaoli Wang, Li Geng, Weihua Liu",2023,,"Neuromorphic perception and computing show great promise in terms of energy efficiency and data bandwidth compared to von Neumann's computing architecture. In-sensor computing allows perception information processing at the edge, which is highly dependent on the functional fusion of receptors and neurons. Here, a leaky integrate-and-fire (LIF) artificial spiking sensory neuron (ASSN) based on a NbO<i><sub>x</sub></i> memristor and an a-IGZO thin-film transistor (TFT) is successfully developed. The ASSN is fabricated mainly through simple sputter deposition processes, showing the prospect of high process compatibility and potential for integration fabrication. The device shows excellent spike encoding ability to deliver the neuromorphic information through spike rate and time-to-first spike. Moreover, in the ASSN, the a-IGZO TFT not only provides the fundamental spike signal computing function of the artificial neuron but also has NO<sub>2</sub> gas and ultraviolet (UV) light dual sensitivity to introduce the neuromorphic perception capability. As a result, the ASSN successfully exhibits an inhibitory property under NO<sub>2</sub> stimulation while exhibiting an excitatory state under UV light stimulation. Futhermore, self-adaption and lateral regulation circuits between different ASSNs are proposed at the edge in mimicking biological neurons' rich interconnection and feedback mechanisms. The ASSNs successfully achieve self-regulation after a huge response during a burst stimulus. In addition, the neuron transmits a more obvious output when the target-sensitive events occur through the edge internal regulation. The self-adaption and lateral regulation demonstrated in ASSN move an important step forward to in-sensor computing, which provides the potential for a multiscene perception in complex environments.",,27
In-Sensor Organic Electrochemical Transistor for the Multimode Neuromorphic Olfactory System,"Yifeng Yin, Tongrui Sun, Lu Wang, Li Li, Pu Guo, Xü Liu, Lize Xiong, Guoqing Zu, Jia Huang",2024,,"The olfactory system is one of the six basic sensory nervous systems. Developing artificial olfactory systems is challenging due to the complexity of chemical information decoding and memory. Conventional chemical sensors can convert chemical signals into electric signals to decode gas information but they lack memory functions. Additional storage and processing units would significantly increase the complexity and power consumption of the devices, especially for portable and wearable devices. Here, an olfactory-inspired in-sensor organic electrochemical transistor (OI-OECT) is proposed, with the integrated functions of chemical information decoding, tunable memory level, and selectivity of vapor sensing. The ion-gel electrolyte endows the OI-OECT with the function of tunable memory levels and a low operating voltage. Typical synaptic behaviors, including inhibitory postsynaptic current and paired-pulse facilitations, are successfully achieved. Importantly, the gas memory level can be effectively modulated by the gate voltages (0 and -1 V), which realized the transformation of volatile and nonvolatile memory. Furthermore, benefiting from the recognition of multiple gases and ability to detect cumulative damage caused by gases, the OI-OECT is demonstrated for early warning system targeting leakage detection of two gases (NH<sub>3</sub> and H<sub>2</sub>S). This work achieves the integrated functions of chemical gas information decode, tunable gas memory level, and selectivity of gas in a single device, which provides a promising pathway for the development of future artificial olfactory systems.",,27
Mild and wild ferroelectrics and their potential role in neuromorphic computation,Ekhard K. H. Salje,2021,,"In this Perspective, two interrelated new developments are discussed. The first relates to a much better understanding of the actual movement of domain walls during switching. Ferroelectric and ferroelastic domain movements proceed via the combination of jerky and smooth displacements of domain walls. A careful separation of these two mechanisms into “wild” and “mild” is crucial for the understanding of avalanches in ferroelectrics. Avalanche switching involves jerky domain wall movements and leads to singularities in the switching current. During avalanches, domain walls enhance and localize atomic transport and generate magnetism emerging from mobile kinks in the walls. The second development is based on the transport of dopants inside domain walls during nano-fabrication of devices. Progressing domain walls in electric fields can then—mainly in the case of wild wall movements—connect defect “reservoirs” similar to synapses connecting neurons in the brain. The walls take the role of synapses, and the defect clusters take that of neurons. The combination of fast moving domain walls and chemical transport inside the walls constitutes, therefore, ingredients for memristive device elements in neuromorphic computers. This application is predicted to play a major future role in ferroelectricity.",,27
Unleashing the potential of gallium oxide: A paradigm shift in optoelectronic applications for image sensing and neuromorphic computing applications,"Naif H. Al-Hardan, Muhammad Azmi Abdul Hamid, Azman Jalar, Mohd Firdaus‐Raih",2023,,,,27
Neuromorphic Vision-Based Fall Localization in Event Streams With Temporal–Spatial Attention Weighted Network,"Guang Chen, Sanqing Qu, Zhijun Li, Haitao Zhu, Jiaxuan Dong, Min Liu, Jörg Conradt",2022,,"Falling down is a serious problem for health and has become one of the major etiologies of accidental death for the elderly living alone. In recent years, many efforts have been paid to fall recognition based on wearable sensors or standard vision sensors. However, the prior methods have the risk of privacy leaks, and almost all these methods are based on video clips, which cannot localize where the falls occurred in long videos. For these reasons, in this article, the bioinspired vision sensor-based falls temporal localization framework is proposed. The bioinspired vision sensors, such as dynamic and active-pixel vision sensor (DAVIS) camera applied in this work responds to pixels' brightness change, and each pixel works independently and asynchronously compared to the standard vision sensors. This property makes it have a very high dynamic range and privacy preserving. First, to better represent event data, compared with the typical constant temporal window mechanism, an adaptive temporal window conversion mechanism is developed. The temporal localization framework follows a proven proposal and classification paradigm. Second, for the high-efficient and recall proposal generation, different from the traditional sliding window scheme, the event temporal density as the actionness score is set and the 1D-watershed algorithm to generate proposals is applied. In addition, we combine the temporal and spatial attention mechanism with our feature extraction network to temporally model the falls. Finally, to evaluate the performance of our framework, 30 volunteers are recruited to join the simulated fall experiments. According to the results of experiments, our framework can realize precise falls temporal localization and achieve the state-of-the-art performance.",,27
Proton Conducting Neuromorphic Materials and Devices,"Yifan Yuan, Ranjan Kumar Patel, Suvo Banik, Tadesse Billo Reta, Ravindra Singh Bisht, Dillon D. Fong, Subramanian K. R. S. Sankaranarayanan, Shriram Ramanathan",2024,,"Neuromorphic computing and artificial intelligence hardware generally aims to emulate features found in biological neural circuit components and to enable the development of energy-efficient machines. In the biological brain, ionic currents and temporal concentration gradients control information flow and storage. It is therefore of interest to examine materials and devices for neuromorphic computing wherein ionic and electronic currents can propagate. Protons being mobile under an external electric field offers a compelling avenue for facilitating biological functionalities in artificial synapses and neurons. In this review, we first highlight the interesting biological analog of protons as neurotransmitters in various animals. We then discuss the experimental approaches and mechanisms of proton doping in various classes of inorganic and organic proton-conducting materials for the advancement of neuromorphic architectures. Since hydrogen is among the lightest of elements, characterization in a solid matrix requires advanced techniques. We review powerful synchrotron-based spectroscopic techniques for characterizing hydrogen doping in various materials as well as complementary scattering techniques to detect hydrogen. First-principles calculations are then discussed as they help provide an understanding of proton migration and electronic structure modification. Outstanding scientific challenges to further our understanding of proton doping and its use in emerging neuromorphic electronics are pointed out.",,27
Universal Linear Optics Revisited: New Perspectives for Neuromorphic Computing With Silicon Photonics,"George Giamougiannis, Apostolos Tsakyridis, Miltiadis Moralis‐Pegios, Angelina Totović, Manos Kirtas, Nikolaos Passalis, Anastasios Tefas, David Lazovsky, Nikos Pleros",2022,,"Reprogrammable optical meshes comprise a subject of heightened interest for the execution of linear transformations, having a significant impact in numerous applications that extend from the implementation of optical switches up to neuromorphic computing. Herein, we review the state-of-the-art approaches for the realization of unitary transformations and universal linear operators in the photonic domain and present our recent work in the field, that allows for fidelity restorable and low-loss optical circuitry with single-step programmability. These advantages unlock a new framework for matrix-vector multiplications required by neuromorphic silicon photonic circuits, supporting: i) high-speed and high-accuracy neural network (NN) inference, ii) high-speed tiled matrix multiplication, iii) NN training and iv) programmable photonic NNs. This new potential is initially validated through recent experimental results using SiGe EAM technology and static weights and, subsequently, utilized for demonstrating experimentally the first Deep NN (DNN) where optical tiled matrix multiplication up to 50 GHz is realized, allowing optics to execute DNNs with large number of trainable parameters over a limited photonic hardware. Finally, the new performance framework is benchmarked against state-of-the-art NN processors and photonic NN roadmap projections, highlighting its perspectives to turn the energy and area efficiency promise of neuromorphic silicon photonics into a tangible reality.",,27
Reliable Memristor Crossbar Array Based on 2D Layered Nickel Phosphorus Trisulfide for Energy‐Efficient Neuromorphic Hardware,"Zhengjin Weng, Haofei Zheng, Lingqi Li, Lei Wei, Helong Jiang, Kah‐Wee Ang, Zhiwei Zhao",2023,,"Designing reliable and energy-efficient memristors for artificial synaptic arrays in neuromorphic computing beyond von Neumann architecture remains a challenge. Here, memristors based on emerging layered nickel phosphorus trisulfide (NiPS<sub>3</sub> ) are reported that exhibit several favorable characteristics, including uniform bipolar nonvolatile switching with small operating voltage (<1 V), fast switching speed (< 20 ns), high On/Off ratio (>10<sup>2</sup> ), and the ability to achieve programmable multilevel resistance states. Through direct experimental evidence using transmission electron microscopy and energy dispersive X-ray spectroscopy, it is revealed that the resistive switching mechanism in the Ti/NiPS<sub>3</sub> /Au device is related to the formation and dissolution of Ti conductive filaments. Intriguingly, further investigation into the microstructural and chemical properties of NiPS<sub>3</sub> suggests that the penetration of Ti ions is accompanied by the drift of phosphorus-sulfur ions, leading to induced P/S vacancies that facilitate the formation of conductive filaments. Furthermore, it is demonstrated that the memristor, when operating in quasi-reset mode, effectively emulates long-term synaptic weight plasticity. By utilizing a crossbar array, multipattern memorization and multiply-and-accumulate (MAC) operations are successfully implemented. Moreover, owing to the highly linear and symmetric multiple conductance states, a high pattern recognition accuracy of ≈96.4% is demonstrated in artificial neural network simulation for neuromorphic systems.",,27
